city,Nb vehicules,Nb vehicules elec,lat,lng,Indice critair,score ecosocial
neuilly sur seine,33860,397,48.8881,2.2686,1.0,74.33333333333334
boulogne billancourt,61503,1727,48.8352,2.2409,0.924241473663336,73.41666666666667
st cloud,15089,125,48.84,2.22,0.9076765411031307,77.75
garches,9173,60,48.8456,2.1869,0.9013902147137633,77.0
le plessis robinson,18081,117,48.7811,2.2633,0.8869277217299532,79.66666666666667
rouen,106609,929,49.4428,1.0886,0.8758302591364595,42.33333333333333
eze,2013,13,43.7278,7.3611,0.8565700108838263,70.08333333333333
levallois perret,32075,230,48.895,2.2872,0.8494791478055079,74.66666666666667
puteaux,32316,658,48.885,2.2389,0.8321846620006554,70.83333333333333
lesquin,10775,38,50.5897,3.1111,0.8281262468471517,75.66666666666666
st mande,7247,44,48.8422,2.4186,0.8276085017210009,74.83333333333334
sevres,10883,82,48.8239,2.2117,0.8236989344215733,72.83333333333333
sceaux,8209,66,48.7786,2.2906,0.8194541661112762,76.91666666666666
villefranche sur mer,3393,17,43.7042,7.3117,0.8166963533239917,68.25
la garenne colombes,12405,65,48.9056,2.2445,0.8154570880014895,76.5
beaulieu sur mer,2264,12,43.7069,7.3314,0.8116632822629621,58.83333333333333
nogent sur marne,13417,66,48.8375,2.4833,0.8109212510037849,74.33333333333334
charbonnieres les bains,3925,24,45.7806,4.7464,0.8088684243716528,79.41666666666666
paris,675617,9376,48.8566,2.3522,0.7986699850462871,62.083333333333336
viroflay,8233,44,48.8,2.1722,0.7938211173278154,83.08333333333334
rueil malmaison,56060,877,48.876,2.181,0.786789233727669,74.0
vincennes,16306,94,48.8478,2.4392,0.780195900171639,74.41666666666666
charenton le pont,11811,70,48.8265,2.405,0.7779245801311432,73.25
limonest,5897,32,45.8369,4.7719,0.7762172043340572,76.83333333333334
montrouge,19359,128,48.8172,2.3219,0.7685194622199352,71.66666666666666
st maur des fosses,38698,205,48.7994,2.4997,0.767774421033685,76.33333333333334
cassis,5446,43,43.2156,5.5372,0.7627337468901128,67.25
bois guillaume,9403,64,49.47,1.1194,0.7609003263916598,77.58333333333333
cleon,7701,18,49.315,1.0356,0.7604068869557428,26.25
meudon,21693,167,48.8123,2.2382,0.7582148325523006,71.16666666666666
antony,32128,199,48.7539,2.2975,0.753502666642663,74.08333333333334
bry sur marne,8881,33,48.8411,2.5222,0.7511719519744093,74.83333333333334
bois colombes,12547,58,48.9175,2.2683,0.7486064879284222,71.66666666666666
chaville,8749,56,48.8086,2.1886,0.7455979020145898,77.58333333333334
bondues,7155,37,50.7017,3.0933,0.7438356442810772,76.41666666666667
issy les moulineaux,43282,253,48.8239,2.27,0.743324713111857,76.16666666666666
velizy villacoublay,24266,95,48.7834,2.1834,0.7423961291549261,79.25
vanves,9268,68,48.8208,2.2897,0.7417036485964577,73.58333333333334
suresnes,22558,123,48.87,2.22,0.7398714155734916,72.41666666666666
ecully,11442,72,45.7744,4.7775,0.7327639090290501,64.91666666666667
bourg la reine,8138,74,48.7796,2.3151,0.7320880413246571,75.5
rungis,13043,114,48.7483,2.3497,0.7192897407671675,81.41666666666667
joinville le pont,8869,37,48.8214,2.4728,0.7145692765080129,67.75
chamalieres,11496,19,45.7736,3.0669,0.714298544411633,74.66666666666667
meylan,13578,85,45.2086,5.7794,0.7140574116322322,78.66666666666666
mont st aignan,13655,52,49.4625,1.0872,0.7130165787758105,64.58333333333334
mouvaux,8037,47,50.7033,3.1406,0.708606397814636,72.41666666666666
tassin la demi lune,14895,51,45.764,4.78,0.7046499899835417,73.66666666666666
clichy,27236,552,48.9044,2.3064,0.7018952104849827,49.25
balma,14466,150,43.6103,1.4986,0.6988815896884817,74.16666666666666
plan de cuques,7586,30,43.3469,5.4631,0.694907032802774,74.66666666666667
lagord,5829,42,46.1894,-1.1542,0.6947124483270297,75.33333333333333
laxou,9660,65,48.6856,6.1522,0.6890282791339355,44.16666666666667
clamart,26218,186,48.8014,2.2628,0.6882216154480489,68.91666666666667
dardilly,8959,54,45.8056,4.7531,0.6876694904140499,77.75
santeny,3137,40,48.7258,2.5722,0.6847610201209622,78.16666666666666
st genis les ollieres,3610,21,45.7572,4.7264,0.6844519581275672,79.16666666666666
souffelweyersheim,6329,32,48.635,7.7408,0.6843619073842024,72.33333333333333
lambersart,15321,51,50.65,3.025,0.6840718918053725,70.33333333333333
chatenay malabry,16899,84,48.7653,2.2781,0.6808108321467179,65.5
villers les nancy,9910,76,48.6731,6.1547,0.6791025638015058,69.83333333333333
la wantzenau,4533,30,48.6581,7.8283,0.6763320897847227,81.0
wambrechies,7467,35,50.6853,3.0486,0.6758936312343642,76.41666666666667
caluire et cuire,24875,137,45.7953,4.8472,0.6726078379904972,70.5
oberhausbergen,3398,24,48.6067,7.6853,0.6723468215121224,73.08333333333334
